city,classification
MAGALIES ESTATES,LOCAL
MAGALIESPARK,OUTLYING
MAGNAVIA,N/A
Mahalapye,N/A
MAHIKENG,OUTLYING
MAHLAKUNG MALL,OUTLYING
MAHUSHU,OUTLYING
MAITLAND,MAIN
MAJOYE LOT 6,N/A
Majuteli Square,N/A
MAKAGAUNG VILLAGE,OUTLYING
MAKGATO STANDS,N/A
MAKHADO,OUTLYING
MAKHADO TOWNSHIP,OUTLYING
MAKHANDA,OUTLYING
MAKINTA HI,LOCAL
MALAITA,OUTLYING
MALAMULELE,OUTLYING
MALAWI,N/A
MALELANE,OUTLYING
Malvern,LOCAL
MALVERN EAST,LOCAL
MAMELODI EAST,LOCAL
Mamelodi West,LOCAL
Manniqburg,N/A
MANZINI,N/A
MAPUTO,N/A
Maputsoe,N/A
MARABASTAD,LOCAL
MARAIS STEYN PARK,LOCAL
MARBLE HALL,OUTLYING
MARBURG,MAIN
MARIAANNRIDGE,MAIN
MARIANHILL,MAIN
MARIKANA,OUTLYING
MARINA DA GAMA,N/A
MARITE TRUST,OUTLYING
MARLBORO,LOCAL
MARSHALLTOWN,LOCAL
Marula Park No. 8,LOCAL
MASAKANE,OUTLYING
MASAKENG,OUTLYING
MASERU,N/A
MASERU WEST,N/A
MASHAMUTHANE,OUTLYING
MASHISHIMALE,OUTLYING
MASIANOKENG,OUTLYING
MASIBEKELA,OUTLYING
MATHIVA FAMILY TRUST,N/A
MATOKS,OUTLYING
MATOLA CITY,N/A
MATSAPA TOWNSHIP,N/A
MATSAPHA,N/A
MAVELE VILLAGE,REGIONAL
MAYFAIR,LOCAL
MAYFIELD SQUARE,LOCAL
MAYIBUYE,N/A
Mayville,LOCAL
MBABABE,N/A
MBABANE,N/A
MBOMBELA,MAIN
MENLO PARK,LOCAL
MENLYN MOTOR CITY,LOCAL
MEYERTON,OUTLYING
MID ENNERDALE,OUTLYING
MIDDELBURG,OUTLYING
MIDRAND,LOCAL
MIDWAY,LOCAL
MIEDERPARK,OUTLYING
MILLENIUM PARK,N/A
MILUWANI,OUTLYING
MKHUZE,OUTLYING
MKHUZE PLAZA,OUTLYING
MKULHU,OUTLYING
Mmabatho,OUTLYING
MMAKAU,LOCAL
MNANDI,LOCAL
MOBOLOKA,OUTLYING
MOCHUDI,N/A
MODJADJI,OUTLYING
MODJADJI PLAZA,OUTLYING
MODJADJISKLOOF,OUTLYING
MOFFAT VIEW,LOCAL
MOGADITSHANE,N/A
MOGODITSHANE,N/A
MOGOGORN WARD,N/A
MOGOMALL MOGODITSHANE,N/A
MOHLAKENG,OUTLYING
MOKGETHI SECTION,LOCAL
MOKIBA SECTION,OUTLYING
MOKOPANE,OUTLYING
MOKWAKWALIA,OUTLYING
MOLEFE,LOCAL
Molepolole,N/A
MONDEOR VILLAGE,LOCAL
MONSTERLUS,OUTLYING
MONTANA,LOCAL
MONTGOMMERY PARK,LOCAL
Monuret Building,LOCAL
MOOI RIVER,OUTLYING
MOSEMANENG,OUTLYING
MOSSEL BAY,OUTLYING
MOTIMPOSO,N/A
MOUNT AYLIFF,OUTLYING
MOUNT FRERE,OUTLYING
MOUNTFRERE,OUTLYING
MOZAMBIQUE,N/A
MPHATLALATSANE,OUTLYING
MPUMALANGA,N/A
MSHADZA,OUTLYING
MT FRERE,OUTLYING
MTHATHA,OUTLYING
MTUBATUBA,OUTLYING
MULBARTON,LOCAL
MUSINA,OUTLYING
MUSINA ONE STOP MOTOR SPARES,OUTLYING
MUSSINA,OUTLYING
MUTILAVA CROSS,N/A
MWAMITARE,N/A
NALEDI,LOCAL
Namibia,N/A
NANCEFIELD,LOCAL
Nancefield - Industria,LOCAL
NAREN,N/A
NATURENA,LOCAL
NDUMO,REGIONAL
NEAR BAPONG TAXI RANK,OUTLYING
NEAR MACHINGENDODA HIGH,OUTLYING
Near Viva Filling Station,OUTLYING
NEBO,OUTLYING
NEDBANK BUILDING,N/A
NELLMAPIUS,LOCAL
