town_name,billing_town,zone,ops_branch
Cibini,NBE,2,ELS
Cicira,NTW,9,BFN
Ciko,CIO,4,ELS
Cilidara,MDT,4,ELS
Cillie,KAA,3,UTN
Cilo,QBQ,4,ELS
Cimezile,BLP,5,CDO
Cingcosdwadweni,TSL,2,ELS
Cintsa East,CIA,2,ELS
Cintsa West,CIA,2,ELS
Citrusdal,CTS,4,VDR
Cizele,EBE,4,ELS
Clairvaux,LWL,5,DUR
Clan Syndicate,WBG,3,DUR
Clansthal,SOG,3,DUR
Clanwilliam,CWM,5,VDR
Clare,TML,4,NLP
Claremont,OZI,1,NCS
Clarens,CRN,2,BEM
Claridge,PZB,3,DUR
Clarkebury,CRY,3,ELS
Clarksdale,DDX,8,BFN
Clarkson,CLS,5,PLZ
Clarkville,MGH,4,PSH
Clau-Clau,KNM,2,NLP
Clayville,CAV,1,JNB
Clermont,PIN,1,DUR
Clewer,CWL,1,WIR
Cliffdale,APH,5,NCS
Cliffdale,HBN,4,NCS
Cliffdale,MTY,5,ELS
Clifford,CDF,8,BFN
Clifton Park,DSA,2,PSH
Clocolan,CLC,4,BEM
Cloeta,ELT,5,ELS
Clyde,ANS,8,UTN
Clydesdale,UMZ,5,DUR
Cobbshaven,KYL,3,GRJ
Coega,COG,1,PLZ
Coerney,COE,2,PLZ
COETZERSDAM,COZ,7,KPR
Coffee Bay,CFB,4,ELS
Cofimvaba,CVB,5,ELS
Coghlan,CGL,3,ELS
Cokomfini,QMB,3,ELS
Cola,TNZ,5,ELS
Colana,ROD,6,PSH
Colchester,NCH,2,PLZ
Cold Place,HHR,4,DUR
Coldstream,STR,6,PLZ
Coleford,CLD,6,DUR
Colenso,CSO,4,NCS
Colesberg,CLG,6,BFN
COLESKEPLAAS,CLP,6,PLZ
Coligny,COL,3,KPR
Collingwood,KNP,7,PSH
Colosa,IDY,4,ELS
Coloti,MTF,5,ELS
Colston,KAM,6,KIM
Columbia,DBK,4,DUR
Combra,BOC,3,PTG
Committees Drift,CMM,4,ELS
Commondale,COM,4,NCS
Commonsvale,HGL,3,PSH
Compensation,UMI,3,DUR
Concordia,CCA,8,UTN
CONTENT,CNX,3,KIM
Conway,CNY,3,CDO
Cookhouse,CHQ,5,PLZ
Cool Air,DTN,3,DUR
Cool Ray,FJN,2,ELS
Copperton,CTN,6,UTN
Corana,MAI,1,ELS
Cork,HSP,2,NCS
Cork,MRI,3,NLP
