element,weight_band,price
27,1 to < 5,181.78
27,5 to < 10,188.13
27,10 to < 15,202.22
27,15 to < 20,236.04
27,20 to < 25,260.71
27,25 to < 30,291.7
27,30 to < 35,319.88
27,35 to < 40,351.6
27,40 to < 45,375.55
27,45 to < 50,393.86
27,50 to < 60,437.56
27,60 to < 70,486.88
27,70 to < 80,538.3
27,80 to < 90,598.91
27,90 to < 100,662.32
27,100 to < 150,861.71
27,150 to < 200,1196.4
27,200 to < 250,1536.72
27,250 to < 300,1877.03
27,300 to < 350,2216.66
28,1 to < 5,229.21
28,5 to < 10,245.33
28,10 to < 15,255.52
28,15 to < 20,297.12
28,20 to < 25,330.22
28,25 to < 30,360.78
28,30 to < 35,401.53
28,35 to < 40,437.18
28,40 to < 45,474.53
28,45 to < 50,504.25
28,50 to < 60,553.49
28,60 to < 70,616.31
28,70 to < 80,677.43
28,80 to < 90,763.17
28,90 to < 100,848.06
28,100 to < 150,1114.61
28,150 to < 200,1547.56
28,200 to < 250,1987.3
28,250 to < 300,2427.88
28,300 to < 350,2868.46
29,1 to < 5,232.6
29,5 to < 10,260.62
29,10 to < 15,270.8
29,15 to < 20,311.54
29,20 to < 25,344.66
29,25 to < 30,376.07
29,30 to < 35,411.72
29,35 to < 40,445.67
29,40 to < 45,487.27
29,45 to < 50,526.33
29,50 to < 60,573.01
29,60 to < 70,638.38
29,70 to < 80,698.65
29,80 to < 90,783.54
29,90 to < 100,871.82
29,100 to < 150,1146.02
29,150 to < 200,1599.34
29,200 to < 250,2053.51
29,250 to < 300,2508.52
29,300 to < 350,2963.54
30,1 to < 5,241.09
30,5 to < 10,264.01
30,10 to < 15,290.32
30,15 to < 20,328.52
30,20 to < 25,349.75
30,25 to < 30,384.55
30,30 to < 35,418.51
30,35 to < 40,456.71
30,40 to < 45,499.16
30,45 to < 50,533.12
30,50 to < 60,586.6
30,60 to < 70,652.81
30,70 to < 80,712.24
30,80 to < 90,787.79
30,90 to < 100,876.07
30,100 to < 150,1160.45
30,150 to < 200,1621.41
30,200 to < 250,2083.22
30,250 to < 300,2543.32
30,300 to < 350,3005.98
1,1 to < 5,43.33
1,5 to < 10,47.76
1,10 to < 15,48.74
1,15 to < 20,49.23
1,20 to < 25,49.73
1,25 to < 30,57.61
1,30 to < 35,62.53
1,35 to < 40,68.44
1,40 to < 45,74.84
1,45 to < 50,80.75
1,50 to < 60,108.32
1,60 to < 70,148.69
1,70 to < 80,189.07
1,80 to < 90,228.95
1,90 to < 100,269.82
1,100 to < 150,1.54
2,1 to < 5,74.21
2,5 to < 10,82.9
2,10 to < 15,84.47
2,15 to < 20,86.84
2,20 to < 25,88.43
2,25 to < 30,104.21
2,30 to < 35,119.21
2,35 to < 40,140.53
2,40 to < 45,159.47
2,45 to < 50,180.79
2,50 to < 60,294.48
2,60 to < 70,405.01
2,70 to < 80,517.11
2,80 to < 90,630.02
2,90 to < 100,741.32
2,100 to < 150,4.23
3,1 to < 5,78.95
3,5 to < 10,95.53
3,10 to < 15,104.21
3,15 to < 20,112.9
3,20 to < 25,120.79
3,25 to < 30,176.25
3,30 to < 35,352.59
3,35 to < 40,528.93
3,40 to < 45,705.28
3,45 to < 50,881.62
3,50 to < 60,1322.47
3,60 to < 70,1763.32
3,70 to < 80,2204.18
3,80 to < 90,2645.03
3,90 to < 100,3085.88
3,100 to < 150,11.02
4,1 to < 5,50.8
4,5 to < 10,55.99
4,10 to < 15,57.15
4,15 to < 20,57.73
4,20 to < 25,58.3
4,25 to < 30,67.54
4,30 to < 35,73.31
4,35 to < 40,80.23
4,40 to < 45,87.74
4,45 to < 50,94.67
4,50 to < 60,127
4,60 to < 70,174.33
4,70 to < 80,221.66
4,80 to < 90,268.42
4,90 to < 100,316.34
4,100 to < 150,1.79
5,1 to < 5,67.99
5,5 to < 10,75.64
5,10 to < 15,76.4
5,15 to < 20,77.17
5,20 to < 25,77.93
5,25 to < 30,90.15
5,30 to < 35,97.79
5,35 to < 40,106.96
5,40 to < 45,116.9
5,45 to < 50,126.83
5,50 to < 60,191.77
5,60 to < 70,262.06
5,70 to < 80,333.88
5,80 to < 90,405.7
5,90 to < 100,477.51
5,100 to < 150,2.72
6,1 to < 5,79.57
6,5 to < 10,87.43
6,10 to < 15,88.32
6,15 to < 20,90.93
6,20 to < 25,91.81
6,25 to < 30,104.04
6,30 to < 35,113.67
6,35 to < 40,125.03
6,40 to < 45,136.41
6,45 to < 50,147.77
6,50 to < 60,245.7
6,60 to < 70,336.64
6,70 to < 80,429.32
6,80 to < 90,521.99
6,90 to < 100,614.69
6,100 to < 150,3.5
7,1 to < 5,81.31
7,5 to < 10,89.18
7,10 to < 15,90.93
7,15 to < 20,92.68
7,20 to < 25,93.56
7,25 to < 30,107.56
7,30 to < 35,118.04
7,35 to < 40,132.91
7,40 to < 45,146.9
7,45 to < 50,160.88
7,50 to < 60,277.18
7,60 to < 70,380.35
7,70 to < 80,485.28
7,80 to < 90,590.21
7,90 to < 100,694.25
7,100 to < 150,3.96
8,1 to < 5,82.99
8,5 to < 10,92.7
8,10 to < 15,94.46
8,15 to < 20,97.12
8,20 to < 25,98.88
8,25 to < 30,116.54
8,30 to < 35,133.31
8,35 to < 40,157.15
8,40 to < 45,178.33
8,45 to < 50,202.18
8,50 to < 60,329.31
8,60 to < 70,452.91
8,70 to < 80,578.27
8,80 to < 90,704.53
8,90 to < 100,829
8,100 to < 150,4.72
9,1 to < 5,84.28
9,5 to < 10,94.92
9,10 to < 15,99.35
9,15 to < 20,102.91
9,20 to < 25,107.35
9,25 to < 30,128.63
9,30 to < 35,157.01
9,35 to < 40,193.39
9,40 to < 45,231.53
9,45 to < 50,268.79
9,50 to < 60,406.3
9,60 to < 70,558.88
9,70 to < 80,714.13
9,80 to < 90,871.14
9,90 to < 100,1025.5
9,100 to < 150,5.84
10,1 to < 5,85.57
10,5 to < 10,98.95
10,10 to < 15,105.19
10,15 to < 20,110.53
10,20 to < 25,117.65
10,25 to < 30,145.29
10,30 to < 35,189.86
10,35 to < 40,249.58
10,40 to < 45,309.3
10,45 to < 50,369.92
10,50 to < 60,516.98
10,60 to < 70,710.41
10,70 to < 80,908.29
10,80 to < 90,1107.06
10,90 to < 100,1305.83
10,100 to < 150,7.44
11,1 to < 5,86.87
11,5 to < 10,103.9
11,10 to < 15,111.95
11,15 to < 20,121.8
11,20 to < 25,130.76
11,25 to < 30,168.38
11,30 to < 35,200.61
11,35 to < 40,323.31
11,40 to < 45,413.77
11,45 to < 50,502.43
11,50 to < 60,670.8
11,60 to < 70,914.41
11,70 to < 80,1170.55
11,80 to < 90,1427.59
11,90 to < 100,1684.63
11,100 to < 150,9.6
12,1 to < 5,87.43
12,5 to < 10,105.8
12,10 to < 15,115.41
12,15 to < 20,125.03
12,20 to < 25,133.78
12,25 to < 30,173.99
12,30 to < 35,208.1
12,35 to < 40,331.39
12,40 to < 45,445.06
12,45 to < 50,528.11
12,50 to < 60,734.48
12,60 to < 70,1012.52
12,70 to < 80,1298.45
12,80 to < 90,1582.62
12,90 to < 100,1867.66
12,100 to < 150,10.64
13,1 to < 5,90.05
13,5 to < 10,107.36
13,10 to < 15,116.02
13,15 to < 20,125.55
13,20 to < 25,135.08
13,25 to < 30,174.04
13,30 to < 35,220.81
13,35 to < 40,342.89
13,40 to < 45,455.46
13,45 to < 50,526.46
13,50 to < 60,749.86
13,60 to < 70,1017.42
13,70 to < 80,1305.76
13,80 to < 90,1591.49
13,90 to < 100,1878.1
13,100 to < 150,10.7
14,1 to < 5,94.71
14,5 to < 10,110.91
14,10 to < 15,118.58
14,15 to < 20,127.97
14,20 to < 25,137.36
14,25 to < 30,173.19
14,30 to < 35,242.29
14,35 to < 40,353.21
14,40 to < 45,464.11
14,45 to < 50,527.25
14,50 to < 60,761.02
14,60 to < 70,1020.37
14,70 to < 80,1307.03
14,80 to < 90,1593.68
14,90 to < 100,1881.2
14,100 to < 150,10.72
15,1 to < 5,95.07
15,5 to < 10,114.6
15,10 to < 15,123.09
15,15 to < 20,132.44
15,20 to < 25,142.61
15,25 to < 30,181.66
15,30 to < 35,257.21
15,35 to < 40,369.28
15,40 to < 45,478.78
15,45 to < 50,566.21
15,50 to < 60,790.33
15,60 to < 70,1095.94
15,70 to < 80,1405.79
15,80 to < 90,1713.94
15,90 to < 100,2023.79
15,100 to < 150,11.53
16,1 to < 5,98.48
16,5 to < 10,118.85
16,10 to < 15,129.04
16,15 to < 20,139.22
16,20 to < 25,148.55
16,25 to < 30,191
16,30 to < 35,275.05
16,35 to < 40,389.65
16,40 to < 45,511.04
16,45 to < 50,613.76
16,50 to < 60,834.47
16,60 to < 70,1175.73
