from_date,fin_network,division,branch_col,service_level,tarsrt,country,city,city2,from_postcode,thru_postcode,till_date,zone_code,remark,lookup,branch,zone
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hopedale,,,,2098-01-01 00:00:00,X9BFN,,Hopedale,BFN,9
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hopefield,Elandslaagte,,,2098-01-01 00:00:00,X2VDB,,HopefieldElandslaagte,VDB,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hopetown,,,,2098-01-01 00:00:00,X4KIM,,Hopetown,KIM,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hopevale,,,,2098-01-01 00:00:00,X3ZCK,,Hopevale,ZCK,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Horton,,,,2098-01-01 00:00:00,X4ELS,,Horton,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hosia,,,,2098-01-01 00:00:00,X4WIT,,Hosia,WIT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hota Mbeule,,,,2098-01-01 00:00:00,X9BFN,,Hota Mbeule,BFN,9
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hotagterklip,,,,2098-01-01 00:00:00,X6CPT,,Hotagterklip,CPT,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hotolo,,,,2098-01-01 00:00:00,X5UTT,,Hotolo,UTT,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hottentotskloof,,,,2098-01-01 00:00:00,X5CPT,,Hottentotskloof,CPT,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Houmoed,,,,2098-01-01 00:00:00,X6UTN,,Houmoed,UTN,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Houtkraal,,,,2098-01-01 00:00:00,X6KIM,,Houtkraal,KIM,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Houtnek,,,,2098-01-01 00:00:00,X3BFN,,Houtnek,BFN,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Houwater,,,,2098-01-01 00:00:00,X7KIM,,Houwater,KIM,7
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Houwhoek,,,,2098-01-01 00:00:00,X3CPT,,Houwhoek,CPT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hoveni,,,,2098-01-01 00:00:00,X4POL,,Hoveni,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hudley,,,,2098-01-01 00:00:00,X2EMG,,Hudley,EMG,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Huhudi,,,,2098-01-01 00:00:00,X6KXE,,Huhudi,KXE,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hukuwa,,,,2098-01-01 00:00:00,X6ELS,,Hukuwa,ELS,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Humanskraal,,,,2098-01-01 00:00:00,X3KXE,,Humanskraal,KXE,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Humulani,,,,2098-01-01 00:00:00,X6POL,,Humulani,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hunterville,,,,2098-01-01 00:00:00,X4ZAY,,Hunterville,ZAY,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Huntingdon,,,,2098-01-01 00:00:00,X4NLP,,Huntingdon,NLP,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hutchinson,,,,2098-01-01 00:00:00,X8KIM,,Hutchinson,KIM,8
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hwafeng,,,,2098-01-01 00:00:00,X4POL,,Hwafeng,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hwantsana,,,,2098-01-01 00:00:00,X4ELS,,Hwantsana,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hwelereng,,,,2098-01-01 00:00:00,X3POL,,Hwelereng,POL,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hwelesaneng,,,,2098-01-01 00:00:00,X2POL,,Hwelesaneng,POL,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hwibi,,,,2098-01-01 00:00:00,X3POL,,Hwibi,POL,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hyde Park,,,,2098-01-01 00:00:00,X3DUR,,Hyde Park,DUR,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Hydro Park,,,,2098-01-01 00:00:00,X6BFN,,Hydro Park,BFN,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iBende,,,,2098-01-01 00:00:00,X4UTT,,iBende,UTT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ichubo,,,,2098-01-01 00:00:00,X1EMG,,Ichubo,EMG,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iCumakala,,,,2098-01-01 00:00:00,X6ELS,,iCumakala,ELS,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ida,,,,2098-01-01 00:00:00,X8BFN,,Ida,BFN,8
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Idutywa,,,,2098-01-01 00:00:00,X3UTT,,Idutywa,UTT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ifafa Beach,,,,2098-01-01 00:00:00,X2ZCK,,Ifafa Beach,ZCK,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iGqunqe,,,,2098-01-01 00:00:00,X5ELS,,iGqunqe,ELS,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Igudweni,,,,2098-01-01 00:00:00,X4ELS,,Igudweni,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ikageleng,,,,2098-01-01 00:00:00,X4RSB,,Ikageleng,RSB,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iKhiwane,,,,2098-01-01 00:00:00,X2ELS,,iKhiwane,ELS,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ikutseng,,,,2098-01-01 00:00:00,X3KIM,,Ikutseng,KIM,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ilanga,Ilanga,,,2098-01-01 00:00:00,X2DUR,,IlangaIlanga,DUR,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ilanga,Mophela,,,2098-01-01 00:00:00,X2DUR,,IlangaMophela,DUR,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ilanga,Mophela North,,,2098-01-01 00:00:00,X2DUR,,IlangaMophela North,DUR,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ilinge,,,,2098-01-01 00:00:00,X6UTT,,Ilinge,UTT,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Illovu,,,,2098-01-01 00:00:00,X2DUR,,Illovu,DUR,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Imincangathelo,,,,2098-01-01 00:00:00,X4ELS,,Imincangathelo,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Immelman,,,,2098-01-01 00:00:00,X6POL,,Immelman,POL,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Immerpan,,,,2098-01-01 00:00:00,X3POL,,Immerpan,POL,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Impala,,,,2098-01-01 00:00:00,X3NLP,,Impala,NLP,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Impumelelo,,,,2098-01-01 00:00:00,X3WIT,,Impumelelo,WIT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iNcaluka,,,,2098-01-01 00:00:00,X9BFN,,iNcaluka,BFN,9
