orig_type,dest_type,type_lookup,sla_type,sla_type_code,route,tariff,c8,service,service_code,facility_type,route_band,route_type,lookup,sla_days,sla_text,c17,blns_service,blns_band,blns_code,blns_lookup,blns_sla,onx_lookup,onx_days,onx_sla
,,,,,ELS-MSU,4,,Express,ONX,Outlying Adhoc,6,Outlying Adhoc,ExpressOutlying Adhoc6,6,6 days by 17h00,,,,,,,,,
,,,,,ELS-MTS,7,,Express,ONX,Outlying Adhoc,7,Outlying Adhoc,ExpressOutlying Adhoc7,6,6 days by 17h00,,,,,,,,,
,,,,,ELS-NCS,7,,Express,ONX,Outlying Adhoc,8,Outlying Adhoc,ExpressOutlying Adhoc8,7,7 days by 17h00,,,,,,,,,
,,,,,ELS-NLP,7,,Express,ONX,Outlying Adhoc,9,Outlying Adhoc,ExpressOutlying Adhoc9,7,7 days by 17h00,,,,,,,,,
,,,,,ELS-PLZ,2,,Express,ONX,Outlying Bi-weekly,1,Outlying Bi-weekly,ExpressOutlying Bi-weekly1,3,3 days by 17h00,,,,,,,,,
,,,,,ELS-PTA,6,,Express,ONX,Outlying Bi-weekly,2,Outlying Bi-weekly,ExpressOutlying Bi-weekly2,3,3 days by 17h00,,,,,,,,,
,,,,,ELS-PTG,7,,Express,ONX,Outlying Bi-weekly,3,Outlying Bi-weekly,ExpressOutlying Bi-weekly3,3,3 days by 17h00,,,,,,,,,
,,,,,ELS-PZB,5,,Express,ONX,Outlying Bi-weekly,4,Outlying Bi-weekly,ExpressOutlying Bi-weekly4,3,3 days by 17h00,,,,,,,,,
,,,,,ELS-VDB,7,,Express,ONX,Outlying Bi-weekly,5,Outlying Bi-weekly,ExpressOutlying Bi-weekly5,3,3 days by 17h00,,,,,,,,,
,,,,,ELS-WDH,9,,Express,ONX,Outlying Bi-weekly,6,Outlying Bi-weekly,ExpressOutlying Bi-weekly6,3,3 days by 17h00,,,,,,,,,
,,,,,ELS-WIR,7,,Express,ONX,Outlying Bi-weekly,7,Outlying Bi-weekly,ExpressOutlying Bi-weekly7,3,3 days by 17h00,,,,,,,,,
,,,,,EMG-BFN,4,,Express,ONX,Outlying Bi-weekly,8,Outlying Bi-weekly,ExpressOutlying Bi-weekly8,4,4 days by 17h00,,,,,,,,,
,,,,,EMG-CPT,6,,Express,ONX,Outlying Bi-weekly,9,Outlying Bi-weekly,ExpressOutlying Bi-weekly9,4,4 days by 17h00,,,,,,,,,
,,,,,EMG-DUR,2,,Express,ONX,Regional Daily,1,Regional Daily,ExpressRegional Daily1,2,2 days by 14h30,,,,,,,,,
,,,,,EMG-ELS,6,,Express,ONX,Regional Daily,2,Regional Daily,ExpressRegional Daily2,2,2 days by 14h30,,,,,,,,,
,,,,,EMG-EMG,1,,Express,ONX,Regional Daily,3,Regional Daily,ExpressRegional Daily3,2,2 days by 14h30,,,,,,,,,
,,,,,EMG-GBE,7,,Express,ONX,Regional Daily,4,Regional Daily,ExpressRegional Daily4,2,2 days by 14h30,,,,,,,,,
,,,,,EMG-GRJ,7,,Express,ONX,Regional Daily,5,Regional Daily,ExpressRegional Daily5,2,2 days by 14h30,,,,,,,,,
,,,,,EMG-JNB,3,,Express,ONX,Regional Daily,6,Regional Daily,ExpressRegional Daily6,2,2 days by 14h30,,,,,,,,,
,,,,,EMG-KIM,5,,Express,ONX,Regional Daily,7,Regional Daily,ExpressRegional Daily7,2,2 days by 14h30,,,,,,,,,
,,,,,EMG-KPR,5,,Express,ONX,Regional Daily,8,Regional Daily,ExpressRegional Daily8,3,3 days by 14h30,,,,,,,,,
,,,,,EMG-MBE,6,,Express,ONX,Regional Daily,9,Regional Daily,ExpressRegional Daily9,3,3 days by 14h30,,,,,,,,,
,,,,,EMG-MSU,5,,Express,ONX,Regional Bi-weekly,1,Regional Bi-weekly,ExpressRegional Bi-weekly1,3,3 days by 14h30,,,,,,,,,
,,,,,EMG-MTS,6,,Express,ONX,Regional Bi-weekly,2,Regional Bi-weekly,ExpressRegional Bi-weekly2,3,3 days by 14h30,,,,,,,,,
,,,,,EMG-NCS,3,,Express,ONX,Regional Bi-weekly,3,Regional Bi-weekly,ExpressRegional Bi-weekly3,3,3 days by 14h30,,,,,,,,,
,,,,,EMG-NLP,5,,Express,ONX,Regional Bi-weekly,4,Regional Bi-weekly,ExpressRegional Bi-weekly4,3,3 days by 14h30,,,,,,,,,
