town_code,tariff_hub,ops_branch,town_name,province,town_type,town_type_abbr,remote_km,servicing_town,service_code,location,sla_facility,zone
PFR,NCS,NCS,PIET RETIEF,Mpumalanga,Regional,R,NULL,NCS,RM,LOC,Regional Daily,5
PRM,CPT,CPT,PIETER MEINTJIES,Western Cape,Outlying,O,235,WOR,OR,LOC,Outlying Adhoc,6
PZB,PZB,DUR,PIETERMARITZBURG,KwaZulu-Natal,Main,M,NULL,PZB,MM,LOC,Branch,2
PTG,PTG,PTG,PIETERSBURG,Limpopo,Main,M,NULL,PTG,MM,LOC,Branch,1
PPK,MBE,MBE,PIGGS PEAK,NULL,Outlying,O,92,MBE,OM,BLNS,Outlying Adhoc,10
PQB,CPT,VDR,PIKETBERG,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,3
PGR,NLP,NLP,PILGRIMS REST,Mpumalanga,Outlying,O,67,SAB,OR,LOC,Outlying Adhoc,3
PIN,DUR,DUR,PINETOWN,KwaZulu-Natal,Main (Suburb),S,NULL,DUR,SM,LOC,Hub,1
PIT,MSU,MSU,PITSENG,NULL,Regional,R,NULL,MSU,RM,BLNS,Regional Daily,10
PTV,KIM,KIM,PITSONG,North West,Outlying,O,65,HWA,OR,LOC,Outlying Adhoc,5
PLB,CPT,VDR,PLATBAKKIES,Northern Cape,Outlying,O,230,SPU,OR,LOC,Outlying Adhoc,8
PLH,GRJ,CPT,PLATHUIS,Western Cape,Outlying,O,80,LAI,OR,LOC,Outlying Adhoc,7
PRD,NCS,NCS,PLATRAND,Mpumalanga,Outlying,O,62,SNR,OR,LOC,Outlying Adhoc,4
PLE,GRJ,GRJ,PLETTENBERG BAY,Western Cape,Regional,R,NULL,GRJ,RM,LOC,Regional Daily,4
PYB,KIM,KIM,PLOOYSBURG,Northern Cape,Outlying,O,98,MRS,OR,LOC,Outlying Adhoc,3
PFD,KIM,UTN,POFADDER,Northern Cape,Outlying,O,262,KAA,OR,LOC,Outlying Bi-weekly,6
PLI,PTG,PTG,POLITSI,Limpopo,Outlying,O,26,TZN,OR,LOC,Outlying Adhoc,3
PTG,PTG,PTG,POLOKWANE,Limpopo,Main,M,NULL,PTG,MM,LOC,Branch,1
POM,NCS,NCS,POMEROY,KwaZulu-Natal,Outlying,O,109,DNE,OR,LOC,Outlying Bi-weekly,4
POF,KPR,KPR,POMFRET,North West,Outlying,O,378,VRU,OR,LOC,Outlying Adhoc,8
PGL,EMG,NCS,PONGOLA,KwaZulu-Natal,Regional,R,NULL,EMG,RM,LOC,Regional Daily,6
POO,CPT,VDR,POOLS,Western Cape,Outlying,O,30,PQB,OR,LOC,Outlying Adhoc,4
PAF,ELS,PLZ,PORT ALFRED,Eastern Cape,Regional,R,NULL,ELS,RM,LOC,Regional Daily,4
PTB,GRJ,GRJ,PORT BEAUFORT,Western Cape,Outlying,O,116,RDS,OR,LOC,Outlying Adhoc,5
PED,DUR,PSH,PORT EDWARD,KwaZulu-Natal,Outlying,O,60,MAR,OR,LOC,Outlying Bi-weekly,2
PLZ,PLZ,PLZ,PORT ELIZABETH,Eastern Cape,Main,M,NULL,PLZ,MM,LOC,Hub,1
POG,PZB,PSH,PORT GROSVENOR,Eastern Cape,Outlying,O,82,LSK,OR,LOC,Outlying Adhoc,6
PNH,CPT,UTN,PORT NOLLOTH,Northern Cape,Outlying,O,274,SPU,OR,LOC,Outlying Bi-weekly,10
PSH,DUR,PSH,PORT SHEPSTONE,KwaZulu-Natal,Regional,R,NULL,DUR,RM,LOC,Regional Daily,1
PSJ,PZB,ELS,PORT ST JOHNS,Eastern Cape,Outlying,O,79,LSK,OR,LOC,Outlying Bi-weekly,3
POL,CPT,VDR,PORTERVILLE,Western Cape,Outlying,O,53,PQB,OR,LOC,Outlying Bi-weekly,4
POC,PLZ,CDO,POST CHALMERS,Eastern Cape,Outlying,O,58,CDO,OR,LOC,Outlying Adhoc,1
PMG,KIM,KIM,POSTMASBURG,Northern Cape,Regional,R,NULL,KIM,RM,LOC,Regional Daily,6
PCM,KPR,KPR,POTCHEFSTROOM,North West,Regional,R,NULL,KPR,RM,LOC,Regional Daily,2
PFT,KIM,KIM,POTFONTEIN,Northern Cape,Outlying,O,104,DER,OR,LOC,Outlying Adhoc,5
PTR,PTG,PTG,POTGIETERSRUS,Limpopo,Regional,R,NULL,PTG,RM,LOC,Regional Daily,3
PUP,KIM,KIM,POUPAN,Northern Cape,Outlying,O,102,HPT,OR,LOC,Outlying Adhoc,5
PTA,PTA,JNB,PRETORIA,Gauteng,Main,M,NULL,PTA,MM,LOC,Hub,1
PRK,KIM,UTN,PRIESKA,Northern Cape,Regional,R,NULL,KIM,RM,LOC,Regional Daily,6
PAW,GRJ,GRJ,PRINCE ALBERT,Western Cape,Outlying,O,139,OUH,OR,LOC,Outlying Bi-weekly,4
PRI,BFN,BFN,PRIORS,Free State,Outlying,O,274,AWL,OR,LOC,Outlying Adhoc,5
PTM,CPT,CPT,PROTEM,Western Cape,Outlying,O,64,BDD,OR,LOC,Outlying Adhoc,5
PUD,KIM,KIM,PUDIMOE,North West,Outlying,O,89,HWA,OR,LOC,Outlying Bi-weekly,5
PTZ,KIM,UTN,PUTSONDERWATER,Northern Cape,Outlying,O,222,PRK,OR,LOC,Outlying Bi-weekly,4
