town_code,tariff_hub,ops_branch,town_name,province,town_type,town_type_abbr,remote_km,servicing_town,service_code,location,sla_facility,zone
CLD,PZB,DUR,COLEFORD,KwaZulu-Natal,Outlying,O,53,UBR,OR,LOC,Outlying Adhoc,5
CSO,NCS,NCS,COLENSO,KwaZulu-Natal,Outlying,O,55,LAY,OR,LOC,Outlying Bi-weekly,4
CLG,BFN,BFN,COLESBERG,Northern Cape,Outlying,O,237,DER,OR,LOC,Outlying Bi-weekly,6
CLP,PLZ,PLZ,COLESKEPLAAS,Eastern Cape,Outlying,O,188,PTI,OR,LOC,Outlying Adhoc,6
COL,KPR,KPR,COLIGNY,North West,Regional,R,NULL,KPR,RM,LOC,Regional Bi-weekly,3
CML,WIR,WIR,COMELIA,Free State,Outlying,O,212,SEC,OR,LOC,Outlying Adhoc,0
CMM,ELS,ELS,COMMITTEES,Eastern Cape,Outlying,O,86,GHO,OR,LOC,Outlying Adhoc,4
COM,NCS,NCS,COMMONDALE,Mpumalanga,Outlying,O,37,PPB,OR,LOC,Outlying Bi-weekly,4
CCA,CPT,UTN,CONCORDIA,Northern Cape,Outlying,O,38,SPU,OR,LOC,Outlying Bi-weekly,8
CNX,KIM,KIM,CONTENT,Northern Cape,Outlying,O,26,WAR,OR,LOC,Outlying Adhoc,3
CNY,PLZ,CDO,CONWAY,Eastern Cape,Outlying,O,124,CDO,OR,LOC,Outlying Adhoc,3
CHQ,PLZ,PLZ,COOKHOUSE,Eastern Cape,Outlying,O,49,SEO,OR,LOC,Outlying Bi-weekly,5
CTN,KIM,UTN,COPPERTON,Northern Cape,Outlying,O,130,PRK,OR,LOC,Outlying Adhoc,6
COR,VDB,NCS,CORNELIA,Free State,Outlying,O,80,FFO,OR,LOC,Outlying Adhoc,5
CDO,PLZ,CDO,CRADOCK,Eastern Cape,Regional,R,NULL,PLZ,RM,LOC,Regional Daily,1
CFT,KPR,KPR,CRAFTHOLE,North West,Outlying,O,187,VRU,OR,LOC,Outlying Adhoc,8
CFH,NCS,NCS,CRAIGSFORTH,KwaZulu-Natal,Outlying,O,76,LAY,OR,LOC,Outlying Adhoc,3
CCY,PTG,PTG,CRECY,Limpopo,Outlying,O,40,NBR,OR,LOC,Outlying Adhoc,4
CRI,PZB,DUR,CREIGHTON,KwaZulu-Natal,Outlying,O,69,IXO,OR,LOC,Outlying Bi-weekly,4
CUL,PTA,JNB,CULLINAN,Gauteng,Main (Suburb),S,NULL,PTA,SM,LOC,Hub,2
CYY,NCS,NCS,CUNDYCLEUGH,KwaZulu-Natal,Outlying,O,110,NCS,OM,LOC,Outlying Adhoc,3
DAA,CPT,UTN,DABENORIS,Northern Cape,Outlying,O,243,SPU,OR,LOC,Outlying Adhoc,8
DAB,KIM,UTN,DAGBREEK,Northern Cape,Outlying,O,48,UTN,OR,LOC,Outlying Adhoc,2
DGG,PLZ,CDO,DAGGABOERSNEK,Eastern Cape,Outlying,O,100,CDO,OR,LOC,Outlying Adhoc,3
DMA,WIR,WIR,DALMANUTHA,Mpumalanga,Outlying,O,157,HDN,OR,LOC,Outlying Bi-weekly,4
DTN,PZB,DUR,DALTON,KwaZulu-Natal,Regional,R,NULL,PZB,RM,LOC,Regional Daily,3
DLR,WIR,WIR,DAMWAL,Mpumalanga,Regional,R,NULL,WIR,RM,LOC,Regional Bi-weekly,1
DKL,KIM,KIM,DANIELSKUIL,Northern Cape,Outlying,O,110,PMG,OR,LOC,Outlying Bi-weekly,5
DNR,VDB,BEM,DANIELSRUS,Free State,Outlying,O,48,BOH,OR,LOC,Outlying Adhoc,1
DHR,NCS,NCS,DANNHAUSER,KwaZulu-Natal,Outlying,O,53,DNE,OR,LOC,Outlying Bi-weekly,2
DRE,PZB,DUR,DARGLE,KwaZulu-Natal,Outlying,O,29,HWR,OS,LOC,Outlying Adhoc,4
DAR,CPT,CPT,DARLING,Western Cape,Outlying,O,48,ALS,OR,LOC,Outlying Bi-weekly,3
DSK,GRJ,GRJ,DASKOP,Western Cape,Outlying,O,105,GRJ,OM,LOC,Outlying Adhoc,2
DAV,WIR,WIR,DAVEL,Mpumalanga,Outlying,O,43,BXL,OR,LOC,Outlying Adhoc,4
DER,KIM,KIM,DE AAR,Northern Cape,Regional,R,NULL,KIM,RM,LOC,Regional Daily,6
DBG,BFN,BFN,DE BRUG,Free State,Outlying,O,82,PSG,OR,LOC,Outlying Adhoc,2
DOR,CPT,CPT,DE DOORNS,Western Cape,Outlying,O,64,WOR,OR,LOC,Outlying Bi-weekly,4
DGR,PTG,PTG,DE GRACHT,Limpopo,Outlying,O,191,BOC,OR,LOC,Outlying Adhoc,5
DEH,CPT,VDR,DE HOEK,Western Cape,Outlying,O,12,PQB,OR,LOC,Outlying Adhoc,3
DHP,GRJ,GRJ,DE HOOP,Western Cape,Outlying,O,40,OUH,OR,LOC,Outlying Adhoc,6
DKK,KIM,CDO,DE KLERK,Northern Cape,Outlying,O,183,DER,OR,LOC,Outlying Adhoc,7
DEU,GRJ,GRJ,DE RUST,Western Cape,Outlying,O,70,OUH,OR,LOC,Outlying Bi-weekly,3
DSV,BFN,BFN,DEALESVILLE,Free State,Outlying,O,122,BTN,OR,LOC,Outlying Bi-weekly,3
DDB,KIM,UTN,DEDEBEN,Northern Cape,Outlying,O,166,KAT,OR,LOC,Outlying Adhoc,6
DEE,KIM,CDO,DEELFONTEIN,Northern Cape,Outlying,O,97,DER,OR,LOC,Outlying Adhoc,7
DEP,KPR,KPR,DEELPAN,North West,Outlying,O,95,DLV,OR,LOC,Outlying Adhoc,5
DLV,KPR,KPR,DELAREYVILLE,North West,Regional,R,NULL,KPR,RM,LOC,Regional Daily,4
DMS,JNB,WIR,DELMAS,Mpumalanga,Regional,R,NULL,JNB,RM,LOC,Regional Daily,3
DLH,KIM,KIM,DELPORTSHOOP,Northern Cape,Outlying,O,58,BKY,OR,LOC,Outlying Bi-weekly,3
DND,PTG,PTG,DENDRON,Limpopo,Outlying,O,39,BOC,OR,LOC,Outlying Bi-weekly,3
DYE,VDB,JNB,DENEYSVILLE,Free State,Outlying,O,64,SBG,OS,LOC,Outlying Bi-weekly,4
DNN,WIR,WIR,DENNILTON,Mpumalanga,Outlying,O,43,SBW,OR,LOC,Outlying Adhoc,4
DBY,KPR,RTR,DERBY,North West,Outlying,O,87,RTR,OR,LOC,Outlying Adhoc,2
DPT,PTA,RTR,DERDEPOORT,North West,Outlying,O,226,NRR,OR,LOC,Outlying Adhoc,5
DSH,PLZ,PLZ,DESPATCH,Eastern Cape,Regional,R,NULL,PLZ,RM,LOC,Regional Daily,1
DON,WIR,WIR,DEVON,Gauteng,Outlying,O,32,LND,OR,LOC,Outlying Bi-weekly,3
DVL,KPR,KPR,DEVONLEA,North West,Outlying,O,75,VRU,OR,LOC,Outlying Adhoc,6
DEW,BFN,BFN,DEWETSDORP,Free State,Outlying,O,97,BSB,OR,LOC,Outlying Bi-weekly,3
DEG,KIM,KIM,DIBENG,Northern Cape,Outlying,O,44,KAT,OR,LOC,Outlying Bi-weekly,7
DBO,CPT,CPT,DIE BOS,Northern Cape,Outlying,O,232,CWM,OR,LOC,Outlying Adhoc,8
DIE,KIM,CDO,DIE PUT,Northern Cape,Outlying,O,35,DER,OR,LOC,Outlying Adhoc,7
DEV,GRJ,GRJ,DIE VLUG,Western Cape,Outlying,O,108,KYL,OR,LOC,Outlying Adhoc,4
DMP,KIM,UTN,DIEMANSPUTS,Northern Cape,Outlying,O,301,PRK,OR,LOC,Outlying Adhoc,5
DPK,JNB,JNB,DIEPKLOOF,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,6
DPE,CPT,CPT,DIEPRIVIER,Western Cape,Main (Suburb),S,NULL,CPT,SM,LOC,Hub,4
DST,JNB,JNB,DIEPSLOOT,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
DKV,KIM,KIM,DIKHUTING,North West,Outlying,O,57,HWA,OR,LOC,Outlying Adhoc,5
DBZ,ELS,ELS,DIMBAZA,Eastern Cape,Outlying,O,40,KWT,OR,LOC,Outlying Bi-weekly,3
DIN,KIM,KIM,DINGLE,KwaZulu-Natal,Outlying,O,60,KAT,OR,LOC,Outlying Adhoc,6
DIP,NCS,NCS,DIRKIESDORP,Mpumalanga,Outlying,O,93,PFR,OR,LOC,Outlying Adhoc,4
DII,PTG,LTT,DITI,Limpopo,Outlying,O,70,LTT,OR,LOC,Outlying Adhoc,0
DLL,PZB,EMG,DLOLWANA,KwaZulu-Natal,Outlying,O,146,NQT,OR,LOC,Outlying Adhoc,5
DBK,PZB,DUR,DONNYBROOK,KwaZulu-Natal,Outlying,O,70,IXO,OR,LOC,Outlying Bi-weekly,4
DDX,ELS,BFN,DORDRECHT,Eastern Cape,Outlying,O,98,QQD,OR,LOC,Outlying Bi-weekly,8
DGB,CPT,VDR,DORING BAY,Western Cape,Outlying,O,88,VRE,OR,LOC,Outlying Adhoc,5
DSO,CPT,VDR,DORINGBOS,Western Cape,Outlying,O,116,CWM,OR,LOC,Outlying Adhoc,6
DBT,KPR,KPR,DORINGBULT,North West,Outlying,O,71,COL,OR,LOC,Outlying Adhoc,3
DLS,KIM,KIM,DOUGLAS,Northern Cape,Regional,R,NULL,KIM,RM,LOC,Regional Daily,4
DVE,VDB,KPR,DOVER,Free State,Outlying,O,54,KPY,OR,LOC,Outlying Adhoc,4
DOV,KPR,KPR,DOVESDALE,North West,Outlying,O,36,VSD,OR,LOC,Outlying Adhoc,3
DRN,PLZ,CDO,DRENNAN,Eastern Cape,Outlying,O,76,CDO,OR,LOC,Outlying Adhoc,2
DNF,NCS,NCS,DRIEFONTEIN,KwaZulu-Natal,Outlying,O,64,LAY,OR,LOC,Outlying Adhoc,5
DTF,ELS,CDO,DRIVERS DRIFT,Eastern Cape,Outlying,O,33,QQD,OR,LOC,Outlying Adhoc,5
DVR,GRJ,GRJ,DROERIVIER,Western Cape,Outlying,O,22,BFU,OR,LOC,Outlying Adhoc,6
DVT,GRJ,GRJ,DROEVLAKTE,Western Cape,Outlying,O,27,SBI,OR,LOC,Outlying Adhoc,4
DMM,PTG,PTG,DRUMMONDLEA,Limpopo,Outlying,O,33,PTR,OR,LOC,Outlying Bi-weekly,3
DUN,CPT,CPT,DU NOON,Western Cape,Main (Suburb),S,NULL,CPT,SM,LOC,Hub,1
DDZ,JNB,JNB,DUDUZA,Gauteng,Outlying,O,20,NLR,OS,LOC,Outlying Adhoc,3
DVF,PTG,PTG,DUIWELSKLOOF,Limpopo,Outlying,O,45,TZN,OR,LOC,Outlying Bi-weekly,4
DMR,WIR,WIR,DULLSTROOM,Northern Cape,Outlying,O,111,LDR,OR,LOC,Outlying Bi-weekly,4
DNE,NCS,NCS,DUNDEE,KwaZulu-Natal,Regional,R,NULL,NCS,RM,LOC,Regional Daily,2
DNA,NLP,WIR,DUNDONALD,Mpumalanga,Outlying,O,200,BNR,OR,LOC,Outlying Bi-weekly,6
DUP,BFN,BFN,DUPLESTROOM,Free State,Outlying,O,172,AWL,OR,LOC,Outlying Adhoc,5
DUR,DUR,DUR,DURBAN,KwaZulu-Natal,Main,M,NULL,DUR,MM,LOC,Hub,1
DWB,PTA,RTR,DWAALBOOM,Limpopo,Outlying,O,122,NRR,OR,LOC,Outlying Bi-weekly,4
DWL,BFN,CDO,DWAALFONTEIN,Northern Cape,Outlying,O,188,DER,OR,LOC,Outlying Adhoc,5
DRR,PTG,PTG,DWARS RIVER,NULL,Outlying,O,100,LTT,OR,LOC,Outlying Bi-weekly,2
DWG,PTA,RTR,DWARSBERG,North West,Outlying,O,145,NRR,OR,LOC,Outlying Adhoc,4
DSS,CPT,VDR,DWARSKERSBOS,Western Cape,Outlying,O,28,VLF,OR,LOC,Outlying Adhoc,2
DSA,DUR,PSH,DWESHULA,KwaZulu-Natal,Outlying,O,43,PSH,OR,LOC,Outlying Adhoc,2
DWK,GRJ,GRJ,DWYKA,Western Cape,Outlying,O,260,BFU,OR,LOC,Outlying Adhoc,6
DYS,GRJ,GRJ,DYSSELSDORP,Western Cape,Outlying,O,48,OUH,OR,LOC,Outlying Bi-weekly,3
DZN,PTG,PTG,DZANANI,Limpopo,Outlying,O,71,LTT,OR,LOC,Outlying Bi-weekly,5
ELS,ELS,ELS,EAST LONDON,Eastern Cape,Main,M,NULL,ELS,MM,LOC,Hub,1
EBE,ELS,ELS,EBENDE,Eastern Cape,Outlying,O,81,BWH,OR,LOC,Outlying Adhoc,4
EBR,BFN,BFN,EDENBURG,Free State,Outlying,O,152,BFN,OM,LOC,Outlying Bi-weekly,3
EDV,VDB,BEM,EDENVILLE,Free State,Outlying,O,84,KPY,OR,LOC,Outlying Bi-weekly,4
ENK,CPT,VDR,EENDEKUIL,Western Cape,Outlying,O,39,CTS,OR,LOC,Outlying Bi-weekly,4
EEN,BFN,BFN,EENSGEVONDEN,Free State,Outlying,O,47,BDT,OR,LOC,Outlying Adhoc,3
ERM,NCS,BEM,EERAM,Free State,Outlying,O,43,HRS,OR,LOC,Outlying Adhoc,4
EKG,PTA,JNB,EKANGALA,Mpumalanga,Outlying,O,39,BHS,OS,LOC,Outlying Bi-weekly,3
EKS,CPT,UTN,EKSTEENFONTEIN,Northern Cape,Outlying,O,272,SPU,OR,LOC,Outlying Adhoc,10
ELB,CPT,VDR,ELANDS BAY,Western Cape,Outlying,O,137,CWM,OR,LOC,Outlying Bi-weekly,4
ELH,ELS,BFN,ELANDS HEIGHT,Eastern Cape,Outlying,O,250,MTL,OR,LOC,Outlying Adhoc,8
ELK,NCS,NCS,ELANDSKRAAL,KwaZulu-Natal,Outlying,O,84,NQT,OR,LOC,Outlying Adhoc,2
ELG,NCS,NCS,ELANDSLAAGTE,KwaZulu-Natal,Outlying,O,52,LAY,OR,LOC,Outlying Adhoc,4
ELP,KPR,RTR,ELANDSPUTTE,North West,Outlying,O,44,LTX,OR,LOC,Outlying Adhoc,5
EGN,CPT,CPT,ELGIN,Western Cape,Outlying,O,7,GRB,OR,LOC,Outlying Adhoc,2
ELI,CPT,CPT,ELIM (WC),Western Cape,Outlying,O,72,BDD,OR,LOC,Outlying Adhoc,5
EMH,PTG,PTG,ELIM HOSPITAL,Limpopo,Outlying,O,46,LTT,OR,LOC,Outlying Bi-weekly,4
ELT,ELS,ELS,ELLIOT,Eastern Cape,Outlying,O,234,QQD,OR,LOC,Outlying Bi-weekly,4
ELD,ELS,ELS,ELLIOTDALE,Eastern Cape,Outlying,O,108,UTT,OR,LOC,Outlying Bi-weekly,2
ELL,PTG,PTG,ELLISRAS,Limpopo,Regional,R,NULL,PTG,RM,LOC,Regional Daily,6
ELM,PTG,RTR,ELMESTON,Limpopo,Outlying,O,80,ELL,OR,LOC,Outlying Adhoc,6
ELF,JNB,WIR,ELOFF,Mpumalanga,Outlying,O,15,DMS,OR,LOC,Outlying Bi-weekly,3
ELU,NLP,NLP,ELUKWATINI,Limpopo,Outlying,O,174,BNR,OR,LOC,Outlying Bi-weekly,4
EGG,EMG,EMG,EMANGUZI,KwaZulu-Natal,Regional,R,NULL,EMG,RM,LOC,Regional Bi-weekly,7
EMG,EMG,EMG,EMPANGENI,KwaZulu-Natal,Main,M,NULL,EMG,MM,LOC,Branch,1
ENG,ELS,ELS,ENGCOBO,Eastern Cape,Outlying,O,162,UTT,OR,LOC,Outlying Bi-weekly,4
ENT,EMG,EMG,ENTUMENI,KwaZulu-Natal,Outlying,O,38,ESH,OR,LOC,Outlying Bi-weekly,3
EML,WIR,WIR,ERMELO,Mpumalanga,Regional,R,NULL,WIR,RM,LOC,Regional Daily,4
ERT,WIR,WIR,ERTS,Limpopo,Outlying,O,132,JFH,OR,LOC,Outlying Adhoc,4
ESH,EMG,EMG,ESHOWE,KwaZulu-Natal,Regional,R,NULL,EMG,RM,LOC,Regional Daily,2
EPD,KIM,KIM,ESPAGSDRIF,North West,Outlying,O,52,JKP,OR,LOC,Outlying Adhoc,4
ECT,PZB,DUR,ESTCOURT,KwaZulu-Natal,Regional,R,NULL,PZB,RM,LOC,Regional Daily,5
EVD,WIR,WIR,EVANDER,Mpumalanga,Regional,R,NULL,WIR,RM,LOC,Regional Daily,3
EVA,PTG,PTG,EVANGELINA,Limpopo,Outlying,O,204,MES,OR,LOC,Outlying Adhoc,6
EWB,KIM,KIM,EWBANK,North West,Outlying,O,80,KUR,OR,LOC,Outlying Adhoc,7
EXC,BFN,BFN,EXCELSIOR,Free State,Outlying,O,85,TCR,OR,LOC,Outlying Bi-weekly,4
EZI,ELS,ELS,EZIBONDENI,Eastern Cape,Outlying,O,46,BWH,OR,LOC,Outlying Bi-weekly,4
FAG,KIM,UTN,FAANS GROVE,North West,Outlying,O,166,KAT,OR,LOC,Outlying Adhoc,6
FAU,CPT,CPT,FAURE,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Bi-weekly,1
FMR,BFN,BFN,FAURESMITH,Free State,Outlying,O,154,PSG,OR,LOC,Outlying Bi-weekly,4
FNS,PZB,DUR,FAWNLEAS,KwaZulu-Natal,Outlying,O,21,DTN,OR,LOC,Outlying Adhoc,4
FXT,EMG,EMG,FELIXTON,KwaZulu-Natal,Regional,R,NULL,EMG,RM,LOC,Regional Bi-weekly,1
FXB,BFN,BEM,FICKSBURG,Free State,Regional,R,NULL,BFN,RM,LOC,Regional Daily,4
FIS,PLZ,CDO,FISH RIVER,Eastern Cape,Outlying,O,72,CDO,OR,LOC,Outlying Adhoc,2
FLG,PZB,ELS,FLAGSTAFF,Eastern Cape,Regional,R,NULL,PZB,RM,LOC,Regional Bi-weekly,5
FLB,BFN,BFN,FLORISBAD,Free State,Outlying,O,88,BDT,OR,LOC,Outlying Adhoc,2
FCR,VDB,JNB,FOCHVILLE,Gauteng,Regional,R,NULL,VDB,RM,LOC,Regional Daily,4
FBF,ELS,ELS,FORT BEAUFORT,Eastern Cape,Outlying,O,160,GHO,OR,LOC,Outlying Bi-weekly,5
FDD,PZB,PSH,FORT DONALD,Eastern Cape,Outlying,O,71,KDX,OR,LOC,Outlying Adhoc,4
FTR,ELS,ELS,FORT HARE,Eastern Cape,Outlying,O,120,KWT,OR,LOC,Outlying Adhoc,4
FJN,ELS,ELS,FORT JACKSON INDUSTRIAL,Eastern Cape,Main (Suburb),S,NULL,ELS,SM,LOC,Hub,2
FMM,NCS,NCS,FORT MISTAKE,KwaZulu-Natal,Outlying,O,65,DNE,OR,LOC,Outlying Adhoc,2
FMB,PZB,DUR,FORT MTOMBENI,KwaZulu-Natal,Outlying,O,79,SAE,OR,LOC,Outlying Adhoc,4
FRR,BFN,BEM,FOURIESBURG,Free State,Outlying,O,96,BEM,OR,LOC,Outlying Bi-weekly,2
FRW,GBE,GBE,FRANCISTOWN,NULL,Regional,R,NULL,GBE,RM,BLNS,Regional Daily,10
FFO,VDB,BEM,FRANKFORT,Free State,Regional,R,NULL,VDB,RM,LOC,Regional Daily,4
FKN,PZB,PSH,FRANKLIN,KwaZulu-Natal,Outlying,O,62,KDX,OR,LOC,Outlying Adhoc,5
FSK,CPT,CPT,FRANSCHHOEK,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,3
FSF,KIM,UTN,FRANSENHOF,Northern Cape,Outlying,O,78,PRK,OR,LOC,Outlying Adhoc,6
FSG,GRJ,GRJ,FRASERBURG,Northern Cape,Outlying,O,267,BFU,OR,LOC,Outlying Bi-weekly,8
FRH,PZB,DUR,FRERE,KwaZulu-Natal,Outlying,O,37,ECT,OR,LOC,Outlying Adhoc,5
MSH,PTG,PTG,GA-MASHASHANE,Limpopo,Outlying,O,60,PTG,OM,LOC,Outlying Bi-weekly,2
GMD,PTG,PTG,GA-MODJADJI,Limpopo,Outlying,O,71,TZN,OR,LOC,Outlying Adhoc,4
GMP,KIM,KIM,GA-MOPEDI,North West,Outlying,O,77,KUR,OR,LOC,Outlying Adhoc,7
GKA,PTA,JNB,GA-RANKUWA,Gauteng,Regional,R,NULL,PTA,RM,LOC,Regional Daily,2
GBE,GBE,GBE,GABORONE,NULL,Main,M,NULL,GBE,MM,BLNS,Branch,4
GSH,KIM,KIM,GALESHEWE,Northern Cape,Main (Suburb),S,NULL,KIM,SM,LOC,Branch,1
GAM,CPT,UTN,GAMOEP,Northern Cape,Outlying,O,130,SPU,OR,LOC,Outlying Adhoc,8
GAA,CPT,CPT,GANS BAY,Western Cape,Outlying,O,88,HER,OR,LOC,Outlying Bi-weekly,5
GAA,CPT,CPT,GANSBAAI,Western Cape,Outlying,O,88,HER,OR,LOC,Outlying Bi-weekly,5
GAN,PTA,RTR,GANSKUIL,Limpopo,Outlying,O,136,NRR,OR,LOC,Outlying Adhoc,4
GSP,KIM,KIM,GANSPAN,Northern Cape,Outlying,O,24,JKP,OR,LOC,Outlying Adhoc,4
GNY,KIM,KPR,GANYESA,North West,Outlying,O,141,VRU,OR,LOC,Outlying Bi-weekly,7
HVD,BFN,BFN,GARIEP DAM,Free State,Outlying,O,282,AWL,OR,LOC,Outlying Bi-weekly,5
GRS,CPT,UTN,GARIES,Northern Cape,Outlying,O,228,SPU,OR,LOC,Outlying Bi-weekly,9
GAR,ELS,ELS,GARNERS DRIFT,Eastern Cape,Outlying,O,131,BWH,OR,LOC,Outlying Adhoc,5
GAO,ELS,BFN,GARRYOWEN,Eastern Cape,Outlying,O,175,QQD,OR,LOC,Outlying Adhoc,8
GEL,KIM,KPR,GELUK,North West,Outlying,O,94,VRU,OR,LOC,Outlying Adhoc,4
GLB,NCS,BEM,GELUKSBURG,KwaZulu-Natal,Outlying,O,57,BRG,OR,LOC,Outlying Adhoc,4
GLS,KIM,UTN,GELUKSPRUIT,Northern Cape,Outlying,O,102,UTN,OR,LOC,Outlying Adhoc,2
GEM,KPR,KPR,GEMSBOKVLAKTE,North West,Outlying,O,250,MEI,OR,LOC,Outlying Adhoc,7
GVE,PZB,PSH,GEMVALE,Eastern Cape,Outlying,O,52,LSK,OR,LOC,Outlying Adhoc,6
GND,CPT,CPT,GENADENDAL,Western Cape,Outlying,O,65,CLN,OR,LOC,Outlying Adhoc,4
GEN,KPR,KPR,GENEVA,Free State,Outlying,O,50,KRO,OR,LOC,Outlying Adhoc,4
GRJ,GRJ,GRJ,GEORGE,Western Cape,Main,M,NULL,GRJ,MM,LOC,Branch,1
GDY,KPR,KPR,GERDAU,North West,Outlying,O,64,COL,OR,LOC,Outlying Bi-weekly,3
GMT,JNB,JNB,GERMISTON,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
GYD,KPR,KPR,GEYSDORP,North West,Outlying,O,47,DLV,OR,LOC,Outlying Adhoc,5
GHZ,GBE,GBE,GHANZI,NULL,Outlying,O,200,GBE,OM,BLNS,Outlying Adhoc,10
GIE,KIM,KIM,GIESENKRAAL,Northern Cape,Outlying,O,150,DER,OR,LOC,Outlying Adhoc,7
GLL,PTG,PTG,GILEAD,Limpopo,Outlying,O,123,BOC,OR,LOC,Outlying Adhoc,3
GIN,EMG,EMG,GINGINDLOVU,KwaZulu-Natal,Outlying,O,46,ESH,OR,LOC,Outlying Bi-weekly,2
GIY,PTG,PTG,GIYANI,Limpopo,Regional,R,NULL,PTG,RM,LOC,Regional Daily,5
GKK,PTG,PTG,GLADDEKOPPIES,Limpopo,Outlying,O,36,LEB,OR,LOC,Outlying Bi-weekly,2
GLN,BFN,BFN,GLEN,Free State,Outlying,O,40,BFN,OM,LOC,Outlying Bi-weekly,1
GLC,PTG,PTG,GLEN COWIE,Limpopo,Outlying,O,28,JFH,OR,LOC,Outlying Bi-weekly,4
GJO,NCS,NCS,GLENCOE,KwaZulu-Natal,Outlying,O,16,DNE,OR,LOC,Outlying Bi-weekly,2
GNQ,PLZ,PLZ,GLENCONNOR,Eastern Cape,Outlying,O,59,KKD,OR,LOC,Outlying Adhoc,3
GLR,PLZ,CDO,GLENROCK (EC),Eastern Cape,Outlying,O,144,SEO,OR,LOC,Outlying Adhoc,3
GFS,BFN,BFN,GLENROCK (FS),Free State,Outlying,O,80,TCR,OR,LOC,Outlying Adhoc,3
GLO,WIR,WIR,GLORIA,Mpumalanga,Outlying,O,38,HDN,OR,LOC,Outlying Bi-weekly,2
GLU,NCS,NCS,GLUCKSTADT,KwaZulu-Natal,Outlying,O,73,VYD,OR,LOC,Outlying Bi-weekly,5
GBS,WDH,WDH,GOBABIS,NULL,Regional,R,NULL,WDH,RM,BLNS,Regional Daily,10
GDW,NLP,NLP,GOEDEWIL,Mpumalanga,Outlying,O,81,LDR,OR,LOC,Outlying Adhoc,4
GGM,BFN,BFN,GOEDGEMOED,Free State,Outlying,O,72,AWL,OR,LOC,Outlying Adhoc,5
GVW,CPT,VDR,GOEDVERWAG,Western Cape,Outlying,O,43,PQB,OR,LOC,Outlying Bi-weekly,3
GOL,EMG,EMG,GOLELA,KwaZulu-Natal,Outlying,O,74,PGL,OR,LOC,Outlying Adhoc,6
GPS,PTG,PTG,GOMPIES,Limpopo,Outlying,O,54,LEB,OR,LOC,Outlying Bi-weekly,3
GMV,BFN,BFN,GOMVLEI,Free State,Outlying,O,197,BFN,OM,LOC,Outlying Adhoc,4
GNB,ELS,ELS,GONUBIE,Eastern Cape,Main (Suburb),S,NULL,ELS,SM,LOC,Hub,1
GOO,CPT,UTN,GOODHOUSE,Northern Cape,Outlying,O,200,SPU,OR,LOC,Outlying Adhoc,8
GWO,CPT,CPT,GOODWOOD,Western Cape,Main (Suburb),S,NULL,CPT,SM,LOC,Hub,1
GDB,CPT,CPT,GORDON'S BAY,Western Cape,Main (Suburb),S,NULL,CPT,SM,LOC,Hub,1
GDB,CPT,CPT,GORDONS BAY,Western Cape,Main (Suburb),S,NULL,CPT,SM,LOC,Hub,1
GDA,CPT,CPT,GOUDA,Western Cape,Outlying,O,77,CER,OR,LOC,Outlying Bi-weekly,4
GOM,GRJ,GRJ,GOURITSMOND,Western Cape,Outlying,O,97,MSB,OR,LOC,Outlying Adhoc,3
GRT,PLZ,CDO,GRAAFF-REINET,Eastern Cape,Regional,R,NULL,PLZ,RM,LOC,Regional Daily,4
GWS,CPT,VDR,GRAAFWATER,Western Cape,Outlying,O,62,CWM,OR,LOC,Outlying Bi-weekly,4
GRB,CPT,CPT,GRABOUW,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,2
GHO,PLZ,PLZ,GRAHAMSTOWN,Eastern Cape,Regional,R,NULL,PLZ,RM,LOC,Regional Daily,4
GBK,CPT,UTN,GRANAATBOSKOLK,Northern Cape,Outlying,O,357,KAA,OR,LOC,Outlying Adhoc,7
GRF,KPR,RTR,GRASFONTEIN,Mpumalanga,Outlying,O,97,VSD,OR,LOC,Outlying Adhoc,5
GRX,NLP,NLP,GRASKOP,Mpumalanga,Outlying,O,57,SAB,OR,LOC,Outlying Bi-weekly,3
GPA,KIM,KIM,GRASPAN,Northern Cape,Outlying,O,77,MRS,OR,LOC,Outlying Adhoc,5
GVL,PTG,PTG,GRAVELOTTE,Limpopo,Outlying,O,58,LET,OR,LOC,Outlying Bi-weekly,5
GRG,PTG,PTG,GREGORY,Limpopo,Outlying,O,226,BOC,OR,LOC,Outlying Adhoc,5
GDR,VDB,JNB,GREYLINGSTAD,Mpumalanga,Outlying,O,38,BOR,OR,LOC,Outlying Bi-weekly,4
GRY,PLZ,PLZ,GREYSTONE,Eastern Cape,Outlying,O,143,KKD,OR,LOC,Outlying Adhoc,4
GYN,CPT,CPT,GREYTON,Western Cape,Outlying,O,71,CLN,OR,LOC,Outlying Bi-weekly,4
GTN,PZB,DUR,GREYTOWN,KwaZulu-Natal,Regional,R,NULL,PZB,RM,LOC,Regional Daily,4
GRI,KIM,KIM,GRIEKWASTAD,Northern Cape,Outlying,O,132,DLS,OR,LOC,Outlying Bi-weekly,5
